Id,Ticker,Status,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Pattern,Days_In_Pattern_Before_Entry,Price_Tightness_1_Week_Before,Exit_Reason,Market_Condition,Category,Earnings_Quality,Fundamentals_Quality,Has_Earnings_Acceleration,Has_Catalyst,Earnings_Last_Q_20_Pct,IPO_Last_10_Years,Nr_Bases,Volume_Confirmation,Is_BioTech
1,CAVA,Exited,2024-09-20,2024-09-30,128.05,122.97,Short Flat Base,7,5.8,Breakout Failure,Uptrend,Leader,2,2,True,False,True,True,3,True,False
2,VST,Exited,2024-10-04,2024-10-09,137.4,124.76,MVP,19,23.0,"Wrong MVP interpretation, move didn't start from base and bought",Uptrend,Unknown,1,1,False,False,False,True,2,False,False
3,LRN,Exited,2024-09-23,2024-10-07,85.91,80.17,Short Flat Base,6,9.5,"Pivot Fail Signs, Pivot Failure, squat, drop on high volume",Uptrend,Unknown,3,3,True,False,True,False,3,False,False
4,ADMA,Exited,2024-10-09,2024-10-10,20.59,18.77,Short Flat Base,14,5.6,Auditor Resign Tankation,Uptrend,Unknown,3,3,True,False,True,False,3,False,True
5,CSWI,Exited,2024-09-25,2024-10-23,371.99,386.56,MVP,15,9.1,New Base Failure,Uptrend,Unknown,1,1,True,False,True,True,3,False,False
6,CAPR,Exited,2024-10-30,2024-10-31,22.7,20.3,VCP,18,15.8, Rushed Improper Pivot Buy WITH overhead supply(not proud of this one),Uptrend,Leader,0,1,False,False,False,False,1,False,True
7,EWTX,Exited,2024-10-04,2024-10-30,28.23,33.39,Low Cheat,10,7.12,New Base Failure,Uptrend,Leader,0,1,False,False,False,True,3,True,True
8,APP,Exited,2024-10-03,2024-11-07,135.25,250.6,Short Flat Base,11,5.3,Stop Loss Hit,Uptrend,Leader,4,4,True,False,True,True,2,False,False
9,LSF,Exited,2024-10-24,2024-11-07,6.34,7.89,VCP,14,8.0,Stop Loss Hit,Uptrend,Leader,1,1,False,False,False,True,3,True,False
10,CMPO,Exited,2024-09-17,2024-11-07,12.465,12.65,Power Play,24,7.0,Earnings dump at the end,Uptrend,Unknown,1,2,False,False,False,True,1,True,False
11,CMPO,Exited,2024-11-07,2024-11-08,15.89,12.65,Short Flat Base,18,7.0,"Bought breakout right before earnings, he thought its ok because he already owns it. Stock got dumped hard(this time lesson learned)",Uptrend,Unknown,1,2,False,False,False,True,1,False,False
12,PRAX,Exited,2024-11-08,2024-11-15,77.49,70.5,Unknown,15,12.5,"Pivot Breakout bad interpretation(no proper VCP, rushed trade)",Uptrend,Leader,0,1,False,False,False,True,3,True,True
13,CDXC,Exited,2024-11-21,2024-11-22,7.85,7.09,Short Flat Base,7,11.3,Rushed Pivot Buy(Not long enough VCP),Uptrend,Unknown,1,1,False,False,False,False,2,False,True
14,APP,Exited,2024-11-19,2024-12-09,308.3,333.5,Short Flat Base,7,13.0,"Wasn't prepared for that 15% drop in a day, probably selection criteria must be improved, probably plan must be improved",Uptrend,Leader,4,4,True,False,True,True,2,False,False
15,CVNA,Exited,2024-11-11,2024-12-10,250.91,239.69,Short Flat Base,7,13.0,Stop Loss Hit,Uptrend,Leader,1,1,True,False,False,True,4,False,False
16,LRN,Running,2024-11-25,1970-10-10,106.0,0.0,Short Flat Base,11,4.7,-,Uptrend,Unknown,3,3,True,False,True,False,4,False,False
17,RKLB,Exited,2024-12-02,2024-12-02,27.43,24.68,Bad MVP,16,28.2,MVP Buy. Bought straight at market open. Unlucky? Consider maybe not buying at market open. MISTAKE FOUND: YOU DID NOT FOLLOW ALL MVP RULES(STOCK WAS DOWN 6 DAYS OUT OF 15 INSTEAD OF MAXIMUM 3) ,Uptrend,Unknown,1,2,False,False,False,True,3,False,False
18,CAPR,Exited,2024-12-03,2024-12-03,20.63,18.29,Low Cheat,20,15.5,"Fake vcp low cheat breakout and dump, probably stop price was too high for that kind of volatility. Most likely a bull trap",Uptrend,Unknown,0,0,False,False,False,False,1,True,True
19,ETON,Exited,2024-12-26,2025-01-07,13.1,11.93,Power Play,18,10.0,"Again probably rushed trade, price wasnt tight enough(10pct tightness 1 week before)",Uptrend,Unknown,1,0,False,False,False,True,5,True,True
21,WGS,Exited,2025-01-06,2025-01-14,84.77,78.25,VCP,30,10.0,Pivot Failure then hard dump,Uptrend,Leader,4,2,True,True,True,True,5,False,False
22,APP,Exited,2025-01-06,2025-01-07,362.13,319.7,Low Cheat,7,11.0,"Breakout Fail. Most likely wrong Low Cheat interpretation, price wasn't nearly tight enough.",Uptrend,Leader,3,1,True,False,True,True,2,False,False
23,ROOT,Exited,2025-01-07,2025-01-30,78.24,97.52,Low Cheat,6,10.0,-,Uptrend,Leader,4,2,True,False,True,True,2,False,False
25,HSAI,Confirmation,1970-10-10,1970-10-10,0.0,0.0,Power Play,9,14.0,-,Uptrend,Leader,1,1,False,True,False,True,1,False,False
26,MFH,Confirmation,1970-10-10,1970-10-10,0.0,0.0,Power Play,30,10.0,-,Uptrend,Leader,0,1,False,False,False,True,1,True,False
27,APP,Confirmation,1970-10-10,1970-10-10,0.0,0.0,VCP,50,11.0,-,Uptrend,Leader,3,2,True,False,True,True,2,False,False
28,ATGL,Confirmation,1970-10-10,1970-10-10,0.0,0.0,Power Play,40,18.0,-,Uptrend,Leader,0,0,False,False,False,True,1,False,False
29,NEON,Confirmation,1970-10-10,1970-10-10,0.0,0.0,VCP,60,9.0,-,Uptrend,Leader,0,1,False,False,False,True,2,False,True
30,ATGL,Confirmation,1970-10-10,1970-10-10,0.0,0.0,VCP,50,17.0,-,Uptrend,Leader,0,1,False,False,False,True,1,False,False
